accepted_at,observation,observed_at,state,task_id,total_seconds,upload_seconds,upload_started_at
1789542775.038294,model 'llama3.2' not found (status code: 404),1789542784.3294594,failed,dd1e91a3-bdba-492e-8f39-16e3e59ff873,9.411491632461548,0.12032628059387207,1789542774.9179678
1789542775.0407352,model 'llama3.2' not found (status code: 404),1789542779.9697597,failed,9598a46f-d722-49ac-aaf5-d9efd655cc8f,5.049475431442261,0.12045097351074219,1789542774.9202843
1789542775.0422568,model 'llama3.2' not found (status code: 404),1789542788.8285396,failed,5ef260e8-f3b7-4805-8f63-cecd47c0c3b9,13.93468451499939,0.14840173721313477,1789542774.893855
1789542781.1092713,model 'llama3.2' not found (status code: 404),1789542793.1725013,failed,e6205c05-315e-43d1-815a-02f33a371cf2,12.079571723937988,0.016341686248779297,1789542781.0929296
1789542786.3094559,model 'llama3.2' not found (status code: 404),1789542797.7182052,failed,bf285cb9-6369-4599-ac5f-7ea033f48f2c,11.42204737663269,0.01329803466796875,1789542786.2961578
1789542791.147335,model 'llama3.2' not found (status code: 404),1789542802.1196964,failed,64066d9e-a30e-48c0-8fa6-4aed31c0e56c,10.987765789031982,0.015404462814331055,1789542791.1319306
1789542795.899578,model 'llama3.2' not found (status code: 404),1789542806.6852422,failed,fe71f6bf-324a-4d60-a749-31ce40944a7d,10.7976975440979,0.012033462524414062,1789542795.8875446
1789542799.3766735,model 'llama3.2' not found (status code: 404),1789542811.2882173,failed,11b182a5-2ecf-4578-9a79-5c977c3eb787,11.92953085899353,0.01798701286315918,1789542799.3586864
1789542809.2075047,model 'llama3.2' not found (status code: 404),1789542815.8889108,failed,7cd21537-3e03-4ca8-a98a-5d51c36a8cd3,6.712499618530273,0.031093597412109375,1789542809.1764112
1789542813.4857957,model 'llama3.2' not found (status code: 404),1789542820.4148836,failed,140ba6a7-6bfd-440d-a48e-a62893b23f04,6.945946216583252,0.016858339309692383,1789542813.4689374
1789542817.2213516,model 'llama3.2' not found (status code: 404),1789542824.7709546,failed,9d245b06-8507-46f2-a18d-285c506acff3,7.566955327987671,0.01735234260559082,1789542817.2039993
